image_name;image_id;class_name;country_code;count;category_id
c7b27c53-92d4-11e9-ab69-000d3a74c7de.jpg;c7b27c53-92d4-11e9-ab69-000d3a74c7de;empty;ken;-1;0
c7b27c55-92d4-11e9-b172-000d3a74c7de.jpg;c7b27c55-92d4-11e9-b172-000d3a74c7de;empty;ken;-1;0
c7b27c57-92d4-11e9-abda-000d3a74c7de.jpg;c7b27c57-92d4-11e9-abda-000d3a74c7de;empty;ken;-1;0
c7b2a27a-92d4-11e9-833b-000d3a74c7de.jpg;c7b2a27a-92d4-11e9-833b-000d3a74c7de;empty;ken;-1;0
c7b2a27c-92d4-11e9-92fb-000d3a74c7de.jpg;c7b2a27c-92d4-11e9-92fb-000d3a74c7de;empty;ken;-1;0
c7b2a27e-92d4-11e9-bd65-000d3a74c7de.jpg;c7b2a27e-92d4-11e9-bd65-000d3a74c7de;empty;ken;-1;0
c7b2c98c-92d4-11e9-b3a7-000d3a74c7de.jpg;c7b2c98c-92d4-11e9-b3a7-000d3a74c7de;empty;ken;-1;0
c7b2c98e-92d4-11e9-8ee2-000d3a74c7de.jpg;c7b2c98e-92d4-11e9-8ee2-000d3a74c7de;empty;ken;-1;0
c7b2c990-92d4-11e9-973c-000d3a74c7de.jpg;c7b2c990-92d4-11e9-973c-000d3a74c7de;empty;ken;-1;0
c7b2c992-92d4-11e9-980f-000d3a74c7de.jpg;c7b2c992-92d4-11e9-980f-000d3a74c7de;empty;ken;-1;0
c7b2f20c-92d4-11e9-a67f-000d3a74c7de.jpg;c7b2f20c-92d4-11e9-a67f-000d3a74c7de;empty;ken;-1;0
c7b2f20e-92d4-11e9-8fee-000d3a74c7de.jpg;c7b2f20e-92d4-11e9-8fee-000d3a74c7de;empty;ken;-1;0
c7b2f210-92d4-11e9-9fd2-000d3a74c7de.jpg;c7b2f210-92d4-11e9-9fd2-000d3a74c7de;empty;ken;-1;0
c7b317a4-92d4-11e9-abc5-000d3a74c7de.jpg;c7b317a4-92d4-11e9-abc5-000d3a74c7de;empty;ken;-1;0
c7b317a6-92d4-11e9-b842-000d3a74c7de.jpg;c7b317a6-92d4-11e9-b842-000d3a74c7de;empty;ken;-1;0
c7b317a8-92d4-11e9-9ef3-000d3a74c7de.jpg;c7b317a8-92d4-11e9-9ef3-000d3a74c7de;empty;ken;-1;0
